Date Collected,Sample.ID,Region,Population,MaterNAl_Family,Individual,B_Number of Stomata,B_Max. Length_Stomata1,B_MidWidth_Stomata1,B_MidWidth_GuardCell_A_Stomata 1,B_MidWidth_GuardCell_B_Stomata1,B_Max. Length_Stomata2,B_MidWidth_Stomata2,B_MidWidth_GuardCell_A_Stomata 2,B_MidWidth_GuardCell_B_Stomata2,B_Max. Length_Stomata3,B_MidWidth_Stomata3,B_MidWidth_GuardCell_A_Stomata3,B_MidWidth_GuardCell_B_Stomata3,T_Number of Stomata,T_Max. Length_Stomata1,T_MidWidth_Stomata1,T_MidWidth_GuardCell_A_Stomata 1,T_MidWidth_GuardCell_B_Stomata1,T_Max. Length_Stomata2,T_MidWidth_Stomata2,T_MidWidth_GuardCell_A_Stomata 2,T_MidWidth_GuardCell_B_Stomata2,T_Max. Length_Stomata3,T_MidWidth_Stomata3,T_MidWidth_GuardCell_A_Stomata3,T_MidWidth_GuardCell_B_Stomata3,Ratio,Av_GCLengthB,Av_GCLengthT,Av_GCLength,Density_B,Density_T,SAI_B,SAI_T
6/27/2016,NAP-CE.33.12,GL Alvar,NAP-CE,33,12,11,0.029,0.019,0.004,0.004,0.028,0.019,0.004,0.005,0.03,0.019,0.004,0.005,14,0.024,0.02,0.006,0.004,0.026,0.019,0.005,0.005,0.032,0.023,0.007,0.007,1.272727273,0.029,0.027333333,0.028166667,143.2291667,182.2916667,4.153645833,4.982638828
7/10/2016,MN-PMG.11,Prairie,MN-PMG,11,NA,11,0.027,0.017,0.004,0.005,0.033,0.018,0.005,0.004,0.027,0.018,0.005,0.004,7,0.025,0.017,0.004,0.005,0.028,0.016,0.005,0.005,0.025,0.015,0.004,0.004,0.636363636,0.029,0.026,0.0275,143.2291667,91.14583333,4.153645833,2.369791667
7/18/2016,AB-LL.13.9,Prairie,AB-LL,13,9,14,0.023,0.021,0.006,0.006,0.022,0.019,0.005,0.006,0.023,0.018,0.005,0.004,8,0.026,0.023,0.005,0.006,0.026,0.019,0.005,0.005,0.025,0.022,0.005,0.006,0.571428571,0.022666667,0.025666667,0.024166667,182.2916667,104.1666667,4.131944505,2.673611146
7/12/2016,WA-BLK.12,Prairie,WA-BLK,12,NA,10,0.032,0.023,0.006,0.005,0.032,0.021,0.006,0.005,0.031,0.023,0.004,0.006,9,0.029,0.021,0.005,0.007,0.029,0.021,0.005,0.006,0.032,0.019,0.005,0.005,0.9,0.031666667,0.03,0.030833333,130.2083333,117.1875,4.123263932,3.515625
7/28/2016,MB-MR.13.7,M Alvar,MB-MR,13,7,13,0.025,0.017,0.003,0.004,0.025,0.021,0.004,0.005,0.023,0.02,0.004,0.004,16,0.021,0.019,0.004,0.004,0.018,0.015,0.002,0.003,0.02,0.017,0.003,0.005,1.230769231,0.024333333,0.019666667,0.022,169.2708333,208.3333333,4.118923555,4.097222292
7/28/2016,MB-MR.13.2,M Alvar,MB-MR,13,2,12,0.027,0.018,0.003,0.004,0.025,0.019,0.004,0.003,0.027,0.021,0.004,0.005,8,0.025,0.019,0.006,0.004,0.024,0.018,0.004,0.004,0.028,0.019,0.004,0.005,0.666666667,0.026333333,0.025666667,0.026,156.25,104.1666667,4.114583281,2.673611146
7/12/2016,WA-BLK.22,Prairie,WA-BLK,22,NA,10,0.031,0.021,0.005,0.004,0.032,0.02,0.005,0.004,0.031,0.021,0.005,0.005,8,0.03,0.021,0.004,0.006,0.03,0.022,0.007,0.004,0.03,0.021,0.006,0.005,0.8,0.031333333,0.03,0.030666667,130.2083333,104.1666667,4.079861068,3.125
7/10/2016,MN-PMG.21,Prairie,MN-PMG,21,NA,11,0.027,0.018,0.005,0.004,0.03,0.017,0.004,0.003,0.028,0.021,0.005,0.005,7,0.029,0.016,0.005,0.002,0.027,0.017,0.004,0.004,0.03,0.013,0.002,0.002,0.636363636,0.028333333,0.028666667,0.0285,143.2291667,91.14583333,4.058159674,2.612847253
7/18/2016,AB-LL.22.5,Prairie,AB-LL,22,5,10,0.032,0.026,0.004,0.006,0.031,0.024,0.007,0.007,0.03,0.024,0.006,0.005,13,0.028,0.029,0.009,0.009,0.029,0.024,0.007,0.007,0.028,0.021,0.004,0.004,1.3,0.031,0.028333333,0.029666667,130.2083333,169.2708333,4.036458333,4.796006888
7/10/2016,SD-MUD.23.10,Prairie,SD-MUD,23,10,12,0.025,0.02,0.004,0.005,0.025,0.021,0.005,0.004,0.027,0.02,0.005,0.004,7,0.029,0.02,0.005,0.005,0.023,0.022,0.004,0.006,0.027,0.02,0.005,0.006,0.583333333,0.025666667,0.026333333,0.026,156.25,91.14583333,4.010416719,2.400173581
7/10/2016,SD-PMG.23,Prairie,SD-PMG,23,NA,11,0.03,0.02,0.004,0.004,0.026,0.021,0.005,0.005,0.028,0.02,0.004,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,143.2291667,NA,4.010416667,NA
7/18/2016,AB-LL.22.8,Prairie,AB-LL,22,8,11,0.028,0.022,0.005,0.005,0.028,0.021,0.007,0.006,0.028,0.024,0.005,0.005,9,0.035,0.025,0.06,0.05,0.034,0.021,0.007,0.005,0.031,0.023,0.004,0.005,0.818181818,0.028,0.033333333,0.030666667,143.2291667,117.1875,4.010416667,3.906249961
7/8/2016,SD-MUD.6.5,Prairie,SD-MUD,6,5,11,0.026,0.019,0.005,0.005,0.027,0.019,0.005,0.005,0.029,0.02,0.004,0.004,8,0.026,0.016,0.003,0.004,0.029,0.017,0.004,0.004,0.032,0.018,0.004,0.004,0.727272727,0.027333333,0.029,0.028166667,143.2291667,104.1666667,3.914930508,3.020833333
7/18/2016,AB-LL.22.9,Prairie,AB-LL,22,9,9,0.035,0.023,0.006,0.005,0.033,0.025,0.006,0.006,0.031,0.025,0.006,0.006,7,0.034,0.022,0.006,0.004,0.033,0.026,0.007,0.007,0.033,0.025,0.007,0.007,0.777777778,0.033,0.033333333,0.033166667,117.1875,91.14583333,3.8671875,3.038194414
7/27/2016,MAN-LCI.12.5,GL Alvar,MAN-LCI,12,5,11,0.028,0.021,0.006,0.005,0.027,0.018,0.004,0.004,0.026,0.019,0.005,0.005,12,0.026,0.018,0.005,0.005,0.026,0.02,0.006,0.005,0.026,0.018,0.004,0.003,1.090909091,0.027,0.026,0.0265,143.2291667,156.25,3.8671875,4.0625
7/27/2016,MAN-FOX.17.3,GL Alvar,MAN-FOX,17,3,15,0.024,0.017,0.006,0.024,0.019,0.006,0.005,0.023,0.016,0.005,0.005,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019666667,NA,NA,195.3125,NA,3.841145898,NA
7/6/2016,MB-MR.21.1,M Alvar,MB-MR,21,1,10,0.03,0.02,0.006,0.006,0.029,0.016,0.003,0.002,0.029,0.018,0.003,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029333333,NA,NA,130.2083333,NA,3.819444401,NA
7/27/2016,AB-LL.26.1,Prairie,AB-LL,26,1,9,0.033,0.025,0.004,0.006,0.029,0.024,0.005,0.005,0.035,0.03,0.008,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032333333,NA,NA,117.1875,NA,3.789062461,NA
7/16/2016,AB-LL.10.8,Prairie,AB-LL,10,8,10,0.028,0.021,0.005,0.006,0.03,0.02,0.007,0.006,0.029,0.02,0.006,0.006,8,0.03,0.024,0.007,0.008,0.029,0.022,0.006,0.007,0.03,0.022,0.006,0.005,0.8,0.029,0.029666667,0.029333333,130.2083333,104.1666667,3.776041667,3.090277813
6/28/2016,MI-DRI.5.10,GL Alvar,MI-DRI,5,10,10,0.025,0.017,0.003,0.005,0.034,0.022,0.005,0.004,0.027,0.018,0.005,0.004,9,0.029,0.021,0.004,0.005,0.028,0.02,0.004,0.005,0.024,0.016,0.003,0.004,0.9,0.028666667,0.027,0.027833333,130.2083333,117.1875,3.732638932,3.1640625
6/28/2016,ND-BSP.29.7,Prairie,ND-BSP,29,7,10,0.029,0.02,0.005,0.005,0.029,0.018,0.005,0.005,0.028,0.019,0.005,0.005,10,0.026,0.017,0.004,0.004,0.027,0.017,0.004,0.004,0.026,0.017,0.004,0.005,1,0.028666667,0.026333333,0.0275,130.2083333,130.2083333,3.732638932,3.428819401
7/29/2016,MI-DRI.24.2,GL Alvar,MI-DRI,24,2,11,0.024,0.018,0.005,0.005,0.026,0.019,0.003,0.004,0.028,0.022,0.005,0.004,13,0.028,0.018,0.006,0.005,0.03,0.019,0.005,0.004,0.026,0.019,0.005,0.005,1.181818182,0.026,0.028,0.027,143.2291667,169.2708333,3.723958333,4.739583333
7/16/2016,AB-LL.12.6,Prairie,AB-LL,12,6,10,0.031,0.022,0.005,0.005,0.029,0.021,0.004,0.005,0.025,0.02,0.003,0.005,10,0.026,0.019,0.005,0.005,0.025,0.019,0.004,0.005,0.025,0.019,0.004,0.004,1,0.028333333,0.025333333,0.026833333,130.2083333,130.2083333,3.689236068,3.298611068
7/12/2016,WA-BLK.24,Prairie,WA-BLK,24,NA,10,0.03,0.024,0.006,0.005,0.027,0.025,0.008,0.008,0.028,0.024,0.007,0.007,7,0.027,0.018,0.005,0.006,0.022,0.017,0.003,0.004,0.023,0.017,0.003,0.004,0.7,0.028333333,0.024,0.026166667,130.2083333,91.14583333,3.689236068,2.1875
7/1/2016,ND-BSP.25.1,Prairie,ND-BSP,25,1,9,0.028,0.025,0.006,0.005,0.035,0.024,0.005,0.004,0.031,0.022,0.004,0.004,12,0.028,0.02,0.006,0.005,0.026,0.018,0.004,0.004,0.029,0.018,0.004,0.005,1.333333333,0.031333333,0.027666667,0.0295,117.1875,156.25,3.671874961,4.322916719
7/28/2016,MAN-MIS.30.9,GL Alvar,MAN-MIS,30,9,11,0.024,0.018,0.004,0.004,0.024,0.016,0.004,0.004,0.027,0.018,0.004,0.004,12,0.027,0.017,0.004,0.005,0.028,0.017,0.005,0.006,0.029,0.02,0.006,0.004,1.090909091,0.025,0.028,0.0265,143.2291667,156.25,3.580729167,4.375
